ingredients,label
"sulfites,caramel color,glycerin,oxybenzone",medium
"refined oil,zinc oxide,maltose",low
"glycerin,benzene,wheat flour",medium
"sodium laureth sulfate,flavour,trans fat,sls,sodium",high
"glucose,sulfites,nitrates",medium
"wheat flour,water",low
"parabens,oxybenzone,sodium laureth sulfate",medium
"sugar,palm oil,titanium dioxide",medium
"sodium benzoate,coal tar,salt,acesulfame k,acetic acid",high
"alcohol,artificial flavour,sulfites",medium
"milk,msg,glucose,flavour,sls",medium
"parabens,artificial flavour",low
"coal tar,parabens,acesulfame k,milk,taurine,salicylic acid",high
"hydrogenated oil,phosphoric acid",low
"nitrates,msg",low
"high fructose corn syrup,water,propylparaben",medium
"citric acid,glycerin,hyaluronic acid,maltose,msg",medium
"sulfites,octinoxate,vegetable oil",medium
"coal tar,wheat flour,propylparaben,vegetable oil,phosphoric acid",high
"milk,glucose,salt,sunset yellow",medium
"sulfites,trans fat",low
"artificial flavour,glucose syrup,parabens,propylparaben,fragrance",high
"citric acid,fragrance,octinoxate",medium
"salt,oxybenzone,caramel color",medium
"formaldehyde,mineral oil",low
"oats,tartrazine,parabens,caramel color",medium
"acetic acid,acesulfame k,monosodium glutamate,citric acid,palm oil",medium
"phosphoric acid,refined oil,titanium dioxide,coal tar",medium
"sls,glycerin,aspartame,vegetable oil",medium
"aspartame,sodium,avobenzone,acetic acid,caramel color",high
"monosodium glutamate,carbon dioxide,sunset yellow,flavour,salicylic acid,taurine",high
"acetic acid,fructose,tartrazine,propylparaben",medium
"artificial color,salicylic acid",low
"taurine,oats",low
"sunset yellow,taurine,propylparaben,aspartame,oats,titanium dioxide",high
"nitrites,mineral oil,carbon dioxide,oxybenzone,sucralose",high
"titanium dioxide,salt,methylparaben,high fructose corn syrup,alcohol",high
"cocoa,carbon dioxide",low
"parabens,taurine,flavour,phosphoric acid,caffeine",medium
"parabens,hydrogenated oil,sunset yellow,oxybenzone,potassium sorbate,vegetable oil",high
"hyaluronic acid,sucralose,oxybenzone,oats",medium
"carbon dioxide,msg",low
"nitrites,aspartame,water",medium
"fragrance,refined oil,artificial flavour,glucose,acesulfame k",high
"synthetic fragrance,caramel color,glucose,nitrites",high
"parabens,sodium benzoate,flavour,nitrates,cocoa",high
"carbon dioxide,flavour,formaldehyde,oxybenzone",medium
"titanium dioxide,octinoxate,sulfites,water",medium
"propylparaben,refined oil,glucose,phthalates,sls",high
"nitrites,wheat flour",low
"glucose syrup,nitrites,sodium,carbon dioxide,high fructose corn syrup",high
"palm oil,milk,sodium laureth sulfate,mineral oil,zinc oxide",medium
"flavour,propylparaben,palm oil,taurine",medium
"glucose syrup,sugar,sucralose",medium
"tartrazine,sulfites,refined oil",medium
"avobenzone,synthetic fragrance",low
"acesulfame k,salicylic acid",low
"synthetic fragrance,taurine",low
"caramel color,sugar,acesulfame k,vegetable oil,propylparaben,phthalates",high
"sodium laureth sulfate,avobenzone,milk,acetic acid",medium
"titanium dioxide,caffeine,sls,artificial flavour,sucralose,salt",high
"acetic acid,fructose",low
"sodium benzoate,benzene,oats,avobenzone",medium
"msg,synthetic fragrance",low
"propylparaben,methylparaben,acesulfame k",medium
"sugar,octinoxate",medium
"methylparaben,sunset yellow,phthalates,msg,artificial flavour,saturated fat",high
"high fructose corn syrup,benzene,sls,sodium,titanium dioxide",high
"sunset yellow,hydrogenated oil,oats,coal tar",high
"water,cocoa,coal tar,hydrogenated oil,trans fat",high
"artificial flavour,msg,zinc oxide,sodium laureth sulfate",medium
"glucose syrup,caramel color,taurine,glucose,mineral oil,fragrance",high
"acesulfame k,synthetic fragrance,sodium,hyaluronic acid",medium
"titanium dioxide,glucose syrup,oxybenzone",medium
"potassium sorbate,synthetic fragrance,refined oil,milk,phthalates,fragrance",high
"parabens,phosphoric acid,citric acid,tartrazine,sls",high
"vegetable oil,acetic acid,synthetic fragrance,methylparaben",medium
"sugar,maltose,citric acid,flavour,potassium sorbate",medium
"phosphoric acid,citric acid,milk,glucose",medium
"benzene,sulfites,msg,sodium benzoate,potassium sorbate,hydrogenated oil",high
"propylparaben,potassium sorbate",low
"oxybenzone,water",low
"oats,glucose syrup,sugar,caramel color,vegetable oil,fructose",high
"vegetable oil,alcohol,zinc oxide,avobenzone,potassium sorbate,sugar",high
"fragrance,fructose,monosodium glutamate,sodium benzoate,sodium",high
"sls,sodium laureth sulfate",low
"vegetable oil,milk,citric acid,fragrance",medium
"milk,mineral oil,sodium laureth sulfate,oats",medium
"caffeine,maltose",low
"tartrazine,hyaluronic acid,glycerin",low
"sodium laureth sulfate,sodium",low
"citric acid,sodium benzoate,salt,oats",medium
"vegetable oil,parabens,nitrites,sodium,mineral oil,salt",high
"benzene,sucralose,methylparaben,avobenzone,zinc oxide",high
"glycerin,trans fat,octinoxate",medium
"artificial color,trans fat,sunset yellow,sodium",high
"fragrance,citric acid,hyaluronic acid,oxybenzone",medium
"hydrogenated oil,taurine,hyaluronic acid",medium
"citric acid,milk,benzene,potassium sorbate,oats,sugar",high
"water,glucose,mineral oil,sunset yellow,oxybenzone",high
"sodium,artificial color,wheat flour,sugar,titanium dioxide",high
"sodium,sulfites,monosodium glutamate,mineral oil,taurine",high
"milk,palm oil,potassium sorbate,flavour",medium
"palm oil,propylparaben,potassium sorbate,monosodium glutamate",medium
"milk,sulfites",low
"fructose,sodium laureth sulfate,glucose syrup,artificial flavour,trans fat,artificial color",high
"fructose,propylparaben",low
"salicylic acid,milk",low
"octinoxate,palm oil,glucose,flavour",medium
"sugar,coal tar",medium
"avobenzone,sulfites,hydrogenated oil,sodium benzoate",high
"nitrites,glycerin,citric acid,fragrance,artificial flavour,sodium benzoate",high
"nitrites,high fructose corn syrup",medium
"caramel color,sugar,formaldehyde",medium
"flavour,vegetable oil,hydrogenated oil,sugar,mineral oil",high
"artificial flavour,glycerin,milk",low
"carbon dioxide,palm oil,sulfites",low
"caffeine,hyaluronic acid,aspartame,acesulfame k,artificial color",high
"sodium,nitrates,sls,sodium lauryl sulfate,parabens,wheat flour",high
"phthalates,salicylic acid,high fructose corn syrup,oxybenzone",high
"monosodium glutamate,sodium laureth sulfate,high fructose corn syrup,caffeine,phthalates",high
"milk,sucralose,palm oil,mineral oil,zinc oxide,alcohol",high
"artificial flavour,zinc oxide",low
"trans fat,sugar,sodium lauryl sulfate",medium
"sunset yellow,refined oil",low
"oxybenzone,propylparaben,flavour",medium
"zinc oxide,formaldehyde,oxybenzone,artificial flavour",medium
"alcohol,nitrates,milk",medium
"potassium sorbate,sucralose,salt,water,coal tar",high
"caramel color,glycerin,cocoa,artificial flavour,zinc oxide,fragrance",medium
"salt,vegetable oil,acetic acid,formaldehyde,sodium laureth sulfate,oats",high
"milk,potassium sorbate,parabens,sulfites,propylparaben",medium
"glycerin,nitrites,glucose syrup,saturated fat,synthetic fragrance,alcohol",high
"fragrance,tartrazine,parabens,phosphoric acid,artificial color,wheat flour",high
"aspartame,fructose",low
"titanium dioxide,fragrance,sodium lauryl sulfate",low
"hydrogenated oil,glycerin,phthalates,salt",medium
"msg,methylparaben",low
"glucose syrup,palm oil,vegetable oil,fructose,formaldehyde",high
"water,sodium lauryl sulfate,monosodium glutamate,sls,sulfites",medium
"acetic acid,glycerin,vegetable oil",low
"citric acid,octinoxate,oats,salt,water",medium
"phthalates,acesulfame k",medium
"sodium lauryl sulfate,water,phthalates,parabens,oats,acesulfame k",high
"glucose,glucose syrup,sodium lauryl sulfate",medium
"sodium lauryl sulfate,synthetic fragrance,sucralose,potassium sorbate,aspartame",high
"glucose syrup,parabens,carbon dioxide,high fructose corn syrup,salt",high
"citric acid,carbon dioxide,avobenzone",low
"acetic acid,glucose syrup,milk,sodium benzoate",medium
"citric acid,palm oil,hydrogenated oil,sunset yellow,sodium lauryl sulfate",high
"trans fat,titanium dioxide,carbon dioxide",low
"wheat flour,synthetic fragrance,methylparaben,acesulfame k,titanium dioxide",high
"titanium dioxide,cocoa,caramel color,sodium benzoate,sunset yellow,formaldehyde",high
"oats,oxybenzone",low
"flavour,parabens,milk,hydrogenated oil,sugar,potassium sorbate",high
"artificial flavour,fructose,sucralose",medium
"mineral oil,sunset yellow,sulfites,saturated fat",medium
"tartrazine,potassium sorbate",low
"glycerin,sunset yellow,caffeine",medium
"nitrates,synthetic fragrance,acetic acid,acesulfame k,fragrance",high
"zinc oxide,artificial color,nitrites,formaldehyde",high
"artificial color,sugar,glycerin,sls",medium
"carbon dioxide,salicylic acid,synthetic fragrance,acetic acid",medium
"fragrance,sodium laureth sulfate",low
"citric acid,benzene,sodium laureth sulfate,phosphoric acid,vegetable oil",high
"glucose syrup,tartrazine,fragrance,sodium laureth sulfate",high
"potassium sorbate,monosodium glutamate,phosphoric acid,water,alcohol,refined oil",high
"palm oil,sunset yellow,oxybenzone",medium
"acetic acid,fructose,formaldehyde,nitrates,citric acid,parabens",high
"artificial color,methylparaben,alcohol",medium
"monosodium glutamate,palm oil,glucose syrup,phthalates,methylparaben",high
"saturated fat,artificial flavour",low
"salicylic acid,sugar,flavour,fragrance,artificial flavour",medium
"sodium lauryl sulfate,sls,salt",medium
"fructose,acesulfame k,avobenzone,sucralose,sodium benzoate",high
"salt,fructose,sodium lauryl sulfate,trans fat",medium
"avobenzone,potassium sorbate,nitrates",medium
"avobenzone,citric acid,parabens,caramel color,nitrates,tartrazine",high
"nitrites,vegetable oil,maltose",medium
"high fructose corn syrup,mineral oil,refined oil,alcohol",medium
"benzene,phthalates,trans fat,caramel color,phosphoric acid,wheat flour",high
"aspartame,hyaluronic acid",low
"msg,titanium dioxide,flavour,fragrance",medium
"sugar,nitrites,glucose",medium
"sodium lauryl sulfate,alcohol",low
"citric acid,oats,glycerin,hyaluronic acid,sodium",medium
"taurine,phosphoric acid",low
"palm oil,benzene,synthetic fragrance,caffeine",high
"nitrites,avobenzone,salt",medium
"carbon dioxide,saturated fat,hyaluronic acid,synthetic fragrance",medium
"glucose syrup,synthetic fragrance,aspartame",medium
"fructose,hydrogenated oil,oats,salicylic acid,nitrates,glucose syrup",high
"sucralose,titanium dioxide,caramel color,palm oil",medium
"aspartame,parabens,saturated fat,methylparaben,sodium",high
"msg,palm oil,aspartame,glucose,fructose",high
"salicylic acid,parabens,formaldehyde",medium
"wheat flour,sodium laureth sulfate,high fructose corn syrup,synthetic fragrance,fructose",high
"saturated fat,refined oil,potassium sorbate,sugar,nitrates",high
"oxybenzone,monosodium glutamate,salt",medium
"sodium laureth sulfate,sls",low
"maltose,saturated fat,taurine,tartrazine",medium
"sugar,hydrogenated oil,artificial color,sls,flavour",high
"titanium dioxide,phosphoric acid,mineral oil,acesulfame k,caramel color",high
"vegetable oil,nitrates,artificial color",medium
"glycerin,parabens,sulfites,hydrogenated oil,artificial flavour",high
"caramel color,synthetic fragrance,high fructose corn syrup,alcohol",high
"potassium sorbate,trans fat,artificial color,hydrogenated oil,carbon dioxide",high
"alcohol,coal tar,nitrites,saturated fat",high
"salt,fructose",low
"sls,citric acid,nitrates,sucralose",medium
"glucose,synthetic fragrance,coal tar,fructose,sodium laureth sulfate",high
"monosodium glutamate,sucralose,sodium laureth sulfate,salt,high fructose corn syrup",high
"octinoxate,parabens,milk,fragrance",medium
"glucose,mineral oil,refined oil,propylparaben,formaldehyde",high
"coal tar,propylparaben,sodium,sodium lauryl sulfate",medium
"taurine,palm oil,sls,fructose,artificial color,carbon dioxide",high
"high fructose corn syrup,benzene",medium
"artificial flavour,water",low
"nitrates,flavour,sodium benzoate",medium
"mineral oil,vegetable oil,maltose,phosphoric acid",medium
"aspartame,coal tar,citric acid",medium
"sodium lauryl sulfate,acesulfame k,water,benzene,sulfites,citric acid",high
"refined oil,trans fat,mineral oil,phosphoric acid,carbon dioxide",high
"nitrites,sulfites,sucralose,parabens,oats",high
"coal tar,fructose",low
"glycerin,sulfites,avobenzone,sodium,parabens",medium
"formaldehyde,sucralose,potassium sorbate",medium
"potassium sorbate,avobenzone,sls,sodium benzoate,sugar,msg",high
"propylparaben,trans fat",low
"acetic acid,sugar",low
"wheat flour,palm oil,msg,phthalates,flavour",high
"sodium laureth sulfate,sunset yellow,palm oil,synthetic fragrance",high
"trans fat,parabens",low
"alcohol,artificial flavour",low
"propylparaben,sunset yellow,phthalates,fructose",high
"trans fat,sunset yellow,maltose,phosphoric acid",high
"oxybenzone,palm oil,saturated fat,milk,artificial flavour,octinoxate",high
"acesulfame k,phthalates,sls,methylparaben,sodium lauryl sulfate",high
"aspartame,trans fat",medium
"aspartame,milk",low
"fragrance,sodium lauryl sulfate",low
"titanium dioxide,artificial flavour,vegetable oil",low
"synthetic fragrance,octinoxate,acetic acid",medium
"citric acid,synthetic fragrance,artificial flavour",medium
"sulfites,artificial flavour,propylparaben",medium
"taurine,oxybenzone,caramel color",medium
"aspartame,acesulfame k,msg,phosphoric acid,glucose syrup",high
"phosphoric acid,cocoa,acetic acid,sugar,wheat flour,sls",high
"acetic acid,oats,acesulfame k",low
"zinc oxide,carbon dioxide,formaldehyde,saturated fat,monosodium glutamate,refined oil",high
"artificial color,nitrates,sugar,propylparaben",high
"titanium dioxide,fragrance",low
"fructose,artificial color,sodium lauryl sulfate",medium
"palm oil,caffeine,coal tar,sunset yellow,refined oil,oats",high
"oxybenzone,caramel color",low
"vegetable oil,formaldehyde,sunset yellow,sls",high
"potassium sorbate,hydrogenated oil,alcohol,maltose,sunset yellow,carbon dioxide",high
"formaldehyde,coal tar,alcohol",medium
"aspartame,sodium,caffeine,sodium lauryl sulfate,synthetic fragrance",high
"caffeine,phosphoric acid,methylparaben",medium
"flavour,sodium laureth sulfate,caramel color,glucose,coal tar,avobenzone",high
"sunset yellow,mineral oil,hydrogenated oil,refined oil",high
"carbon dioxide,phosphoric acid,benzene,potassium sorbate,alcohol,parabens",high
"acetic acid,caffeine,monosodium glutamate,octinoxate,msg,artificial flavour",high
"taurine,cocoa,sodium laureth sulfate,carbon dioxide,refined oil",medium
"cocoa,acetic acid,formaldehyde",low
"mineral oil,flavour",low
"phosphoric acid,sodium lauryl sulfate,vegetable oil,cocoa,tartrazine,sodium benzoate",high
"phosphoric acid,caffeine,flavour,parabens,acetic acid,formaldehyde",high
"sodium,artificial color,water",medium
"coal tar,glycerin,sodium benzoate,sugar",high
"oats,phthalates,sunset yellow,caffeine,water",high
"carbon dioxide,flavour,salt",low
"glucose,octinoxate,caffeine,potassium sorbate,acetic acid",high
"titanium dioxide,alcohol,vegetable oil,trans fat,acesulfame k",high
"sulfites,sugar,glycerin,fragrance,sucralose,nitrites",high
"glycerin,sugar,sls,sodium,palm oil,nitrites",high
"wheat flour,artificial flavour,phthalates",medium
"oxybenzone,oats,potassium sorbate,caramel color,citric acid",medium
"sodium laureth sulfate,sodium,palm oil,potassium sorbate,tartrazine,parabens",high
"artificial color,sodium,citric acid,wheat flour,salt,sulfites",high
"sucralose,sodium lauryl sulfate",low
"sls,vegetable oil,tartrazine,cocoa,sodium benzoate,salicylic acid",high
"sunset yellow,formaldehyde,artificial color,refined oil,salt,glucose",high
"mineral oil,sodium lauryl sulfate,oats,nitrates",medium
"phosphoric acid,saturated fat,sodium benzoate,sucralose",medium
"potassium sorbate,phosphoric acid,refined oil,vegetable oil,wheat flour",high
"acesulfame k,mineral oil,monosodium glutamate",medium
"palm oil,mineral oil,coal tar,titanium dioxide",medium
"sugar,avobenzone",low
"tartrazine,cocoa,propylparaben",medium
"sucralose,wheat flour,glycerin,tartrazine,salicylic acid",medium
"citric acid,water,nitrites,titanium dioxide,hyaluronic acid",medium
"oats,carbon dioxide",low
"sucralose,sodium laureth sulfate,sunset yellow,fragrance,hyaluronic acid,glucose",high
"glucose,hyaluronic acid,tartrazine,synthetic fragrance",high
"sucralose,sulfites,salt,oxybenzone",medium
"zinc oxide,glucose",low
"salicylic acid,zinc oxide,nitrites,water,hydrogenated oil",medium
"milk,high fructose corn syrup,glucose,synthetic fragrance,saturated fat",high
"sodium lauryl sulfate,refined oil,alcohol,avobenzone,octinoxate,potassium sorbate",high
"artificial color,oxybenzone,sodium lauryl sulfate,phthalates,saturated fat,phosphoric acid",high
"monosodium glutamate,sucralose,potassium sorbate,glucose,sls",high
"sodium,vegetable oil",low
"flavour,trans fat,alcohol,taurine,benzene,zinc oxide",high
"sucralose,titanium dioxide,palm oil,oxybenzone",medium
"aspartame,salicylic acid,acetic acid,sodium benzoate",medium
"cocoa,zinc oxide,saturated fat,artificial flavour,methylparaben",medium
"hydrogenated oil,avobenzone,titanium dioxide,sls",medium
"aspartame,zinc oxide,coal tar,hyaluronic acid,artificial color",high
"fructose,citric acid,sls,oats,nitrites",medium
"sls,refined oil,aspartame",medium
"mineral oil,zinc oxide,monosodium glutamate,high fructose corn syrup,taurine,sugar",high
"methylparaben,maltose,hydrogenated oil,sucralose",medium
"aspartame,phthalates,high fructose corn syrup,saturated fat,palm oil,trans fat",high
"saturated fat,octinoxate",low
"benzene,palm oil,sodium benzoate,sunset yellow,trans fat,saturated fat",high
"caffeine,aspartame,trans fat",medium
"aspartame,refined oil,nitrites,salicylic acid",medium
"propylparaben,refined oil,palm oil,milk,methylparaben",medium
"milk,cocoa,mineral oil",low
"artificial flavour,maltose",low
"sodium benzoate,coal tar,propylparaben,methylparaben,synthetic fragrance",high
"potassium sorbate,formaldehyde,octinoxate",medium
"salicylic acid,glucose syrup,glycerin",low
"sunset yellow,sucralose",low
"artificial flavour,sodium lauryl sulfate",low
"wheat flour,refined oil,fructose,aspartame,sodium,nitrates",high
"oxybenzone,sugar,glucose,synthetic fragrance,artificial flavour",high
"refined oil,sodium laureth sulfate,caramel color,cocoa,fragrance",medium
"sls,hyaluronic acid",low
"sunset yellow,cocoa,salt,aspartame",medium
"high fructose corn syrup,glucose,milk,refined oil",medium
"alcohol,saturated fat,sodium,vegetable oil",medium
"benzene,caramel color,nitrates,sodium benzoate",high
"maltose,parabens,nitrates,monosodium glutamate",medium
"caffeine,sulfites,salicylic acid",low
"glucose syrup,fructose,aspartame,nitrites",high
"citric acid,salt,carbon dioxide,octinoxate",medium
"benzene,milk,vegetable oil",medium
"milk,glucose,cocoa",low
"zinc oxide,phosphoric acid,parabens",low
"cocoa,palm oil,trans fat,alcohol",medium
"hyaluronic acid,methylparaben,propylparaben,mineral oil",medium
"cocoa,palm oil",low
"carbon dioxide,sodium laureth sulfate,trans fat",medium
"carbon dioxide,mineral oil,parabens,sulfites,benzene",high
"fructose,artificial flavour,citric acid,caffeine,octinoxate",high
"sulfites,sls,hyaluronic acid,phthalates",medium
"flavour,artificial flavour,artificial color,acetic acid",medium
"trans fat,acetic acid,mineral oil,flavour,caffeine,wheat flour",high
"acesulfame k,aspartame",medium
"titanium dioxide,saturated fat,potassium sorbate,wheat flour,palm oil",medium
"mineral oil,phthalates,nitrates,sodium lauryl sulfate,propylparaben,nitrites",high
"tartrazine,phosphoric acid",low
"hydrogenated oil,tartrazine",medium
"tartrazine,phosphoric acid,hydrogenated oil,sucralose",high
"refined oil,sodium lauryl sulfate,zinc oxide,salicylic acid,saturated fat",medium
"glycerin,caramel color,oxybenzone,sugar,sodium",high
"monosodium glutamate,sodium laureth sulfate,hyaluronic acid,formaldehyde,tartrazine,sulfites",high
"avobenzone,glucose,synthetic fragrance,sucralose,taurine,benzene",high
"aspartame,glycerin,alcohol,parabens",medium
"parabens,propylparaben,hydrogenated oil,sodium",medium
"caffeine,phthalates,sulfites,salicylic acid,oxybenzone,maltose",high
"alcohol,aspartame,propylparaben",medium
"sunset yellow,sodium laureth sulfate,wheat flour,alcohol,sodium,acesulfame k",high
"palm oil,fructose",low
"acetic acid,palm oil,caramel color,wheat flour,oxybenzone",high
"fructose,oxybenzone,nitrites,sodium benzoate,hyaluronic acid",high
"mineral oil,synthetic fragrance,phthalates,citric acid",medium
"maltose,avobenzone,high fructose corn syrup",medium
"oxybenzone,tartrazine",medium
"potassium sorbate,artificial color,sodium lauryl sulfate,avobenzone",medium
"caramel color,maltose,fructose",medium
"oats,coal tar,mineral oil,carbon dioxide,trans fat",high
"parabens,fructose,sunset yellow",medium
"fragrance,nitrates,potassium sorbate,sodium,water",high
"oxybenzone,caramel color,acesulfame k",medium
"flavour,fragrance,artificial color,sodium lauryl sulfate",medium
"saturated fat,hyaluronic acid,fragrance,citric acid,sodium,sugar",high
"zinc oxide,msg,tartrazine,phthalates,octinoxate,sodium lauryl sulfate",high
"water,fructose,nitrites,vegetable oil,milk",medium
"formaldehyde,salt,wheat flour,methylparaben",medium
"caffeine,acetic acid",low
"caffeine,trans fat,glucose syrup,fragrance,fructose",high
"msg,artificial color,phthalates,wheat flour",high
"sodium laureth sulfate,sucralose,avobenzone,citric acid,oxybenzone,cocoa",high
"tartrazine,saturated fat,sodium lauryl sulfate,sulfites",medium
"taurine,artificial flavour",low
"artificial color,maltose,oxybenzone,caramel color",high
"sodium,maltose",low
"sodium benzoate,benzene",medium
"alcohol,carbon dioxide,water,sodium",medium
"formaldehyde,zinc oxide,caramel color,sls,avobenzone,parabens",high
"salt,glucose",low
"avobenzone,zinc oxide,synthetic fragrance,sodium benzoate,potassium sorbate,msg",high
"avobenzone,taurine",low
"sodium laureth sulfate,synthetic fragrance",low
"phosphoric acid,benzene,sunset yellow,sodium",high
"synthetic fragrance,glycerin,oxybenzone",medium
"sunset yellow,hyaluronic acid,cocoa,tartrazine,benzene",high
"flavour,oxybenzone",low
"methylparaben,benzene,salicylic acid,sodium laureth sulfate,avobenzone",high
"hydrogenated oil,sodium,synthetic fragrance",medium
"citric acid,zinc oxide,sunset yellow,octinoxate,coal tar",high
"monosodium glutamate,propylparaben,taurine",medium
"oxybenzone,fructose,phosphoric acid,fragrance,carbon dioxide,avobenzone",high
"sls,monosodium glutamate",low
"acetic acid,salt",low
"salt,citric acid,msg",low
"fructose,benzene,aspartame,trans fat,tartrazine,artificial flavour",high
"glucose syrup,artificial color,propylparaben,saturated fat,caramel color",high
"monosodium glutamate,fructose,sodium benzoate,caramel color,cocoa,parabens",high
"milk,water,sodium benzoate,flavour",medium
"flavour,saturated fat,wheat flour,taurine,nitrates,glucose syrup",high
"mineral oil,synthetic fragrance,flavour",medium
"fructose,tartrazine,refined oil,cocoa",medium
"water,glucose syrup",low
"acesulfame k,fragrance,sucralose,cocoa,artificial flavour,aspartame",high
"taurine,sulfites,synthetic fragrance",medium
"wheat flour,high fructose corn syrup,propylparaben,glucose syrup",high
"flavour,methylparaben,msg",low
"salicylic acid,avobenzone,vegetable oil",low
"acesulfame k,artificial color,carbon dioxide,refined oil,oxybenzone,msg",high
"avobenzone,milk,nitrates,maltose",medium
"vegetable oil,potassium sorbate",low
"milk,fructose,maltose,benzene,sodium lauryl sulfate",high
"palm oil,coal tar,parabens,glycerin,msg,avobenzone",high
"glucose syrup,sls,hyaluronic acid,trans fat",medium
"sodium lauryl sulfate,oats,carbon dioxide,nitrates,phthalates,phosphoric acid",high
"citric acid,artificial color,nitrates,coal tar,milk,formaldehyde",high
"maltose,oats,benzene",medium
"artificial flavour,palm oil,artificial color,nitrites",high
"titanium dioxide,caramel color",low
"monosodium glutamate,glucose syrup",low
"fructose,benzene,high fructose corn syrup",medium
"wheat flour,tartrazine",low
"caffeine,glycerin,artificial flavour,oxybenzone,octinoxate",high
"glucose syrup,caramel color,cocoa,nitrates,sucralose",high
"saturated fat,glucose syrup,caramel color,monosodium glutamate",medium
"potassium sorbate,acetic acid",low
"carbon dioxide,sodium laureth sulfate,octinoxate,oats,salicylic acid",medium
"titanium dioxide,carbon dioxide,refined oil,mineral oil,saturated fat,caffeine",high
"benzene,sodium,artificial flavour,acetic acid,saturated fat,msg",high
"fragrance,sodium benzoate",low
"trans fat,high fructose corn syrup,sodium lauryl sulfate",medium
"saturated fat,avobenzone,tartrazine,hydrogenated oil,refined oil,nitrites",high
"fragrance,cocoa,synthetic fragrance",medium
"sodium lauryl sulfate,hyaluronic acid,sulfites,synthetic fragrance,parabens,saturated fat",high
"wheat flour,sodium lauryl sulfate,glucose,oxybenzone,phosphoric acid,milk",high
"sls,benzene,vegetable oil,nitrites,caramel color,hydrogenated oil",high
"nitrates,citric acid",low
"saturated fat,sulfites,refined oil,tartrazine,wheat flour,phosphoric acid",high
"citric acid,phosphoric acid,sunset yellow,sodium laureth sulfate,salicylic acid,sodium",high
"fragrance,avobenzone,caffeine,acesulfame k,phthalates",high
"propylparaben,potassium sorbate,avobenzone,citric acid,msg",medium
"saturated fat,oxybenzone,octinoxate,trans fat,hyaluronic acid,glucose syrup",high
"avobenzone,sodium laureth sulfate,acesulfame k,sucralose",medium
"hyaluronic acid,water",low
"msg,propylparaben,flavour,synthetic fragrance",medium
"sugar,avobenzone",low
"oxybenzone,formaldehyde,octinoxate",medium
"potassium sorbate,carbon dioxide,fragrance,palm oil,citric acid",medium
"sodium lauryl sulfate,avobenzone",low
"milk,hyaluronic acid,vegetable oil,sodium,monosodium glutamate,saturated fat",high
"nitrites,acetic acid,sulfites,acesulfame k,high fructose corn syrup",high
"glucose syrup,sodium,mineral oil,vegetable oil,trans fat,msg",high
"carbon dioxide,tartrazine,citric acid,vegetable oil,trans fat,aspartame",high
"titanium dioxide,formaldehyde,sodium laureth sulfate,parabens,vegetable oil,trans fat",high
"caramel color,sugar,mineral oil",medium
"cocoa,benzene,sunset yellow,sodium,sugar",high
"propylparaben,mineral oil,flavour,oxybenzone,citric acid",medium
"acetic acid,sodium,sls",low
"artificial flavour,hydrogenated oil",low
"caramel color,formaldehyde,propylparaben,sodium laureth sulfate,salicylic acid,benzene",high
"sodium,tartrazine,synthetic fragrance,artificial flavour",high
"alcohol,sodium laureth sulfate",low
"salicylic acid,acesulfame k,saturated fat,sodium",medium
"zinc oxide,cocoa,sls,acesulfame k,hyaluronic acid",medium
"sulfites,vegetable oil,cocoa",low
"artificial flavour,hydrogenated oil",low
"tartrazine,sucralose",low
"acetic acid,sulfites,glucose,palm oil",medium
"parabens,cocoa,saturated fat,acetic acid",medium
"phthalates,propylparaben,sls",medium
"titanium dioxide,salt,glucose,glucose syrup,sodium,saturated fat",high
"sls,glucose syrup,artificial color,hyaluronic acid",medium
"maltose,sodium laureth sulfate",low
"water,glucose syrup,mineral oil,methylparaben",medium
"saturated fat,oats,sodium laureth sulfate",low
"phosphoric acid,alcohol,vegetable oil,oxybenzone,sodium benzoate",high
"phosphoric acid,nitrites,sodium,parabens,sodium benzoate",high
